user_id,gender,topk_items
0004de6c3c32daa599bd03a37ce2356d5e7cc23f,M,"31745282-b1ea-4d62-939f-226b14d68e7c,7fa7fc04-1011-4876-8095-ecd232edea87,5b687684-ad34-4a9f-b425-0e7aa81fbd38,319b1175-ced9-438f-986b-9239c3edd92d,f57e14e4-b030-467c-b202-539453f504ec,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd,00a9f935-ba93-4fc8-a33a-993abe9c936b,17167af8-c1da-45cc-bba2-9d23f068b7a3,efaefde1-e09b-4d49-9d8e-b1304d2ece8d,8000598a-5edb-401c-8e6d-36b167feaf38"
0007e26aafcfc0b6dcb87d7041583fbb7cced88a,F,"cc197bad-dc9c-440d-a5b5-d52ba2e14234,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,ff6e677f-91dd-4986-a174-8db0474b1799,f27ec8db-af05-4f36-916e-3d57f91ecf5e,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,8bfac288-ccc5-448d-9573-c33ea2aa5c30,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3,14b22b4b-06d5-4b82-8284-29d29b58945f,79239441-bfd5-4981-a70c-55c3f15c1287,a74b1b7f-71a5-4011-9441-d0b5e4122711"
0009f70b52e48eca23a446d8a6f8bd2663691c54,F,"14b22b4b-06d5-4b82-8284-29d29b58945f,a505bb48-ad65-4af4-ae47-29149715bff9,8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,9a709693-b4f8-4da9-8cc1-038c911a61be,561d854a-6a28-4aa7-8c99-323e6ce46c2a,a74b1b7f-71a5-4011-9441-d0b5e4122711,f969f986-97df-4fa0-8cef-ffccd098ff50,10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,b5a6ea29-3065-4869-ac66-a44002e55d4d,b8c5cc4f-239f-4e02-b46f-b040b77c2030"
001078f2f557a1afd9b9618144fc0b442481fd13,M,"cc197bad-dc9c-440d-a5b5-d52ba2e14234,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,8bfac288-ccc5-448d-9573-c33ea2aa5c30,a74b1b7f-71a5-4011-9441-d0b5e4122711,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,9c9f1380-2516-4fc9-a3e6-f9f61941d090,ff6e677f-91dd-4986-a174-8db0474b1799,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,95e1ead9-4d31-4808-a7ac-32c3614c116b,a66999a7-ae5c-460e-ba94-1a01143ae847"
00292157f9c4e4b11464e886f27fff42f1ff442d,M,"9a709693-b4f8-4da9-8cc1-038c911a61be,14b22b4b-06d5-4b82-8284-29d29b58945f,69158f97-4c07-4c4e-baf8-4e4ab1ed666e,9ddce51c-2b75-4b3e-ac8c-1db09e7c89c6,a74b1b7f-71a5-4011-9441-d0b5e4122711,fc7376fe-1a6f-4414-b4a7-83f50ed59c92,8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,9940c604-2456-4193-a403-ab18420bc1e9,95e9aba6-f85c-48a0-9ec9-395d4f0e3875,f22942a1-6f70-4f48-866e-238cb2308fbd"
00339a6d443083f8406f21b0b6633a01cd267437,M,"cc197bad-dc9c-440d-a5b5-d52ba2e14234,f27ec8db-af05-4f36-916e-3d57f91ecf5e,60c5c7a0-95e1-493d-ba2e-3d548b5947f0,79239441-bfd5-4981-a70c-55c3f15c1287,d7ac3cc7-0d65-476b-9b81-d3e872672a2f,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,f07b0d13-ef03-4537-a5b4-9474e71a578f,db4624cf-0e44-481e-a9dc-2142b833ec2f,8bfac288-ccc5-448d-9573-c33ea2aa5c30,5e8da504-c75b-4bf5-9dfc-119057c1a9c0"
0041e603fdebccc75f579253380ea04cfa74aaa9,M,"b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,cc197bad-dc9c-440d-a5b5-d52ba2e14234,a74b1b7f-71a5-4011-9441-d0b5e4122711,ff6e677f-91dd-4986-a174-8db0474b1799,14b22b4b-06d5-4b82-8284-29d29b58945f,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3,e21857d5-3256-4547-afb3-4b6ded592596,8bfac288-ccc5-448d-9573-c33ea2aa5c30,561d854a-6a28-4aa7-8c99-323e6ce46c2a,c296e10c-110a-4103-9e77-47bfebb7fb2e"
004772560c85924565f27af2ced405b71654abd6,M,"b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,72c536dc-7137-4477-a521-567eeb840fa8,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,a74b1b7f-71a5-4011-9441-d0b5e4122711,cc197bad-dc9c-440d-a5b5-d52ba2e14234,ebfc1398-8d96-47e3-82c3-f782abcdb13d,70248960-cb53-4ea4-943a-edb18f7d336f,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,5441c29d-3602-4898-b1a1-b77fa23b8e50,ff6e677f-91dd-4986-a174-8db0474b1799"
0047900ffc06e284ae3ee73cc224194fe2c18e1f,F,"79239441-bfd5-4981-a70c-55c3f15c1287,4e0e884d-099b-4ca9-bf4d-bcb31e739540,1de93a63-3a9f-443a-ba8a-a43b5fe0121e,f27ec8db-af05-4f36-916e-3d57f91ecf5e,b202beb7-99bd-47e7-8b72-195c8d72ebdd,cc197bad-dc9c-440d-a5b5-d52ba2e14234,d7ac3cc7-0d65-476b-9b81-d3e872672a2f,88679ca2-2080-4cea-8669-41ab4b8d865d,13655113-cd16-4b43-9dca-cadbbf26ee05,dfa715ac-b536-44df-af43-570d3ea3edec"
004f549cab66c483eaf7899d17f4b1a445276c01,M,"9d78c6da-a415-4e1d-a55d-5e37b3bbc65d,f77b29df-63d3-4969-b89e-3de3e0718a26,b23a7050-ab60-4f6e-91e7-cfb33c8b3ced,b38225b8-8e5f-42aa-bcdc-7bae5b5bdab3,2ff146a9-b42e-44af-ac35-315a0a520c8e,5eb16ca3-8475-4d0c-a439-daecd807778a,d4bcc69d-516d-482e-ba77-a1e5f821e927,8fbbcf55-9fc9-4e06-99dc-ef76d5816dcd,01a6d199-bbab-4191-83d6-4a6289ff907f,cd18c836-6574-4fb0-947a-8de6a09df9c0"
