user_id,topk_items
5474,"260,1196,1210,2858,1270,1198,608,2571,593,1617"
2857,"1320,2288,2167,1129,6,1690,2985,1240,2916,1370"
571,"2571,589,2628,1210,480,260,1527,1580,3793,1573"
678,"2003,2746,2054,2100,2011,2455,2174,2657,2716,1339"
1354,"2858,2396,2997,2028,3948,1265,2291,39,356,3481"
5520,"1210,2396,480,1580,2571,260,3175,2628,3114,2858"
5792,"2858,608,296,593,1617,2997,527,1704,1213,318"
5703,"1204,1252,1953,1250,1267,1219,3435,1221,903,2366"
4339,"2571,589,1580,3623,780,2762,2628,1573,2763,3793"
3301,"2858,3683,2997,3160,162,1617,1041,1213,2692,3481"
5432,"1244,912,1247,1230,1252,923,908,3435,920,904"
5153,"2352,2243,2245,3684,1962,1307,3361,1293,1674,357"
3477,"914,899,932,17,1947,915,838,916,898,3097"
1448,"2262,2003,2474,1994,3686,2739,3210,3591,1092,2145"
3309,"1270,260,1196,1197,1198,1210,2174,1291,1136,1097"
3830,"2997,2858,2599,3481,3160,2692,3083,3006,2908,2395"
5597,"1350,1327,1982,1321,1347,1345,1997,2867,2789,2644"
3757,"593,110,2858,1198,1617,2028,608,1196,260,318"
5759,"1584,1210,1265,357,589,1396,1610,1653,1580,2916"
984,"1953,1198,969,1221,1287,110,1272,1304,920,1276"
3971,"1923,1704,2858,1639,1265,1777,1682,1517,1060,1784"
549,"2000,2470,1994,592,1674,3101,2001,2716,3448,1101"
3171,"1244,3435,3683,2186,3730,922,1248,1178,2303,2920"
5329,"2716,2369,1674,2858,1968,1994,1307,1186,1258,1961"
5860,"1307,1270,2100,1028,1197,1265,2797,356,2174,1097"
5451,"260,1196,858,2858,1617,750,1221,541,1198,608"
4488,"1214,1129,2527,2366,1201,2664,2288,1240,3703,3702"
3389,"260,1240,1196,1198,589,1214,2571,2858,1210,3527"
5185,"1367,432,1302,1021,2015,588,2012,2470,2294,150"
2680,"2858,2396,2997,1617,608,912,908,913,3481,593"
3707,"6,70,2353,165,1370,47,95,1518,733,2959"
2820,"1994,3706,1982,1321,1214,1345,2553,1219,3550,2160"
242,"2571,589,1580,480,3175,2628,1210,2028,2762,110"
3009,"1580,1210,356,480,2628,2571,780,1196,2396,589"
3049,"898,1296,899,916,914,28,912,17,265,915"
3292,"969,2870,898,933,2067,905,3244,3035,920,1944"
787,"2858,2762,3408,3578,3623,2997,3176,2959,2028,3753"
3067,"3176,587,377,597,1393,3257,222,1704,357,3044"
3807,"1982,1974,2617,1327,1347,1717,1970,188,1350,2003"
2109,"1219,2858,3081,1407,2762,3499,593,110,608,2710"
4831,"912,2858,1247,1225,318,2396,608,527,919,593"
2997,"2396,2858,318,593,527,357,1307,1094,17,608"
5182,"597,2470,587,539,2145,1088,1968,339,3255,3524"
2753,"898,899,912,1230,905,1244,1247,920,914,919"
4888,"3435,2186,905,1244,912,910,950,1267,1230,3545"
4992,"2858,2396,260,1196,1270,1210,1197,1198,593,608"
5361,"1367,531,1013,2059,1014,1022,1688,588,2081,586"
3334,"2858,318,1704,593,296,527,150,1393,34,110"
2351,"2858,593,608,318,296,1617,527,1704,2997,2762"
